1771193629.4148343,BUY 68684.1,68684.10,0.0000
1771193629.5184648,SELL 68682.5,68682.50,0.0000
1771193630.003157,CLOSE_SHORT 68682.5,68682.50,0.0000
1771193630.2257156,BUY 68682.5,68682.50,0.0000
1771193630.3316367,SELL 68682.5,68682.50,0.0000
1771193630.6230922,BUY 68685.7,68685.70,0.0000
1771193631.5313976,SELL 68685.7,68685.70,0.0000
1771193632.7822428,BUY 68687.6,68687.60,0.0000
1771193633.03098,SELL 68687.6,68687.60,0.0000
1771193633.13266,BUY 68687.6,68687.60,0.0000
1771193633.6327212,SELL 68687.6,68687.60,0.0000
1771193635.089897,CLOSE_SHORT 68687.6,68687.60,0.0000
1771193638.1295831,BUY 68687.6,68687.60,0.0000
1771193638.2348568,SELL 68687.6,68687.60,0.0000
1771193639.2012541,BUY 68685,68685.00,0.0000
1771193639.2113063,CLOSE_LONG 68694.8,68694.80,0.0143
1771193639.528736,BUY 68685,68685.00,0.0000
1771193639.629209,SELL 68685,68685.00,0.0000
1771193640.2112315,CLOSE_SHORT 68685,68685.00,0.0000
1771193643.4524515,BUY 68685,68685.00,0.0000
1771193643.5549576,SELL 68684.7,68684.70,0.0000
1771193645.5302594,BUY 68684.7,68684.70,0.0000
1771193645.6325853,SELL 68684.7,68684.70,0.0000
1771193646.873576,BUY 68685,68685.00,0.0000
1771193646.9737175,SELL 68687.6,68687.60,0.0000
1771193649.272404,BUY 68687.6,68687.60,0.0000
1771193649.3740883,SELL 68687.6,68687.60,0.0000
1771193650.9645693,BUY 68680.2,68680.20,0.0000
1771193651.525702,SELL 68665.9,68665.90,0.0000
1771193651.6251905,BUY 68668.4,68668.40,0.0000
1771193652.6161587,CLOSE_LONG 68685.9,68685.90,0.0255
1771193655.3565888,BUY 68685.9,68685.90,0.0000
1771193655.4569738,SELL 68685.9,68685.90,0.0000
1771193656.0210614,BUY 68685.9,68685.90,0.0000
1771193656.1222796,SELL 68685.9,68685.90,0.0000
1771193657.5238788,BUY 68685.9,68685.90,0.0000
1771193657.6281927,SELL 68685.9,68685.90,0.0000
1771193659.2717328,BUY 68685.9,68685.90,0.0000
1771193659.3743231,SELL 68681.3,68681.30,0.0000
1771193663.5222323,CLOSE_SHORT 68681.3,68681.30,0.0000
1771193664.499605,BUY 68681.3,68681.30,0.0000
1771193664.6093774,SELL 68681.3,68681.30,0.0000
1771193665.7889736,CLOSE_SHORT 68681.3,68681.30,0.0000
1771193669.724276,BUY 68678.8,68678.80,0.0000
1771193669.8308392,SELL 68676,68676.00,0.0000
1771193670.871039,CLOSE_SHORT 68676,68676.00,0.0000
1771193672.9797611,SELL 68676,68676.00,0.0000
1771193673.185319,BUY 68676,68676.00,0.0000
1771193674.6330624,SELL 68675.2,68675.20,0.0000
1771193675.5183356,BUY 68675.2,68675.20,0.0000
1771193675.6215706,SELL 68675.2,68675.20,0.0000
1771193675.9563806,CLOSE_SHORT 68675.2,68675.20,0.0000
1771193677.39417,BUY 68675.2,68675.20,0.0000
1771193677.4989522,SELL 68675.2,68675.20,0.0000
1771193689.5854628,BUY 68675.2,68675.20,0.0000
1771193689.6848645,SELL 68669.2,68669.20,0.0000
1771193689.966242,CLOSE_SHORT 68669.2,68669.20,0.0000
1771193690.514498,BUY 68672.9,68672.90,0.0000
1771193690.6198835,SELL 68672.9,68672.90,0.0000
1771193691.151472,CLOSE_SHORT 68672.9,68672.90,0.0000
1771193691.4635568,SELL 68669.2,68669.20,0.0000
1771193691.5693552,BUY 68675.6,68675.60,0.0000
1771193692.514663,CLOSE_LONG 68675.6,68675.60,0.0000
1771193699.6614845,BUY 68675.6,68675.60,0.0000
1771193699.7677195,SELL 68672.7,68672.70,0.0000
1771193700.7598538,BUY 68672.8,68672.80,0.0000
1771193700.8598096,SELL 68669.2,68669.20,0.0000
1771193700.969617,BUY 68672.8,68672.80,0.0000
1771193701.0693104,SELL 68669.2,68669.20,0.0000
1771193701.349494,CLOSE_SHORT 68669.2,68669.20,0.0000
1771193702.5146005,SELL 68668.9,68668.90,0.0000
